"PPR_RK",PPR_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Christian McCaffrey",CAR,"127.5","0","0","37","343","1","99","442","1"
"2",1,"Jonathan Taylor",IND,"373.1","0","0","40","360","2","332","1811","18"
"3",1,"Austin Ekeler",LAC,"343.8","0","0","70","647","8","206","911","12"
"4",1,"Dalvin Cook",MIN,"206.3","0","0","34","224","0","249","1159","6"
"5",2,"Justin Jefferson",MIN,"330.4","0","0","108","1616","10","6","14","0"
"6",2,"Cooper Kupp",LAR,"439.5","0","0","145","1947","16","4","18","0"
"7",2,"Najee Harris",PIT,"300.7","0","0","74","467","3","307","1200","7"
"8",2,"Derrick Henry",TEN,"193.3","0","0","18","154","0","219","937","10"
"9",2,"Travis Kelce",KC,"262.8","0","0","92","1125","9","2","3","1"
"10",2,"Joe Mixon",CIN,"287.9","0","0","42","314","3","292","1205","13"
"11",2,"D'Andre Swift",DET,"208.9","0","0","62","452","2","151","617","5"
"12",2,"Ja'Marr Chase",CIN,"304.6","0","0","81","1455","13","7","21","0"
"13",3,"Stefon Diggs",BUF,"285.5","0","0","103","1225","10","0","0","0"
"14",3,"Davante Adams",LV,"344.3","0","0","123","1553","11","0","0","0"
"15",3,"Alvin Kamara",NO,"234.7","0","0","47","439","5","240","898","4"
"16",3,"Saquon Barkley",NYG,"148.6","0","0","41","263","2","162","593","2"
"17",3,"Aaron Jones",GB,"229","0","0","52","391","6","171","799","4"
"18",3,"CeeDee Lamb",DAL,"232.8","0","0","79","1102","6","9","76","0"
"19",3,"Leonard Fournette",TB,"255.6","0","0","69","454","2","180","812","8"
"20",3,"Mark Andrews",BAL,"301.1","0","0","107","1361","9","1","0","0"
"21",4,"Tyreek Hill",MIA,"296.5","0","0","111","1239","9","9","96","0"
"22",4,"Mike Evans",TB,"262.5","0","0","74","1035","14","1","10","0"
"23",4,"Javonte Williams",DEN,"204.9","0","0","43","316","3","203","903","4"
"24",4,"Keenan Allen",LAC,"257.8","0","0","106","1138","6","0","0","0"
"25",4,"Deebo Samuel",SF,"338.96","0","0","77","1405","6","59","365","8"
"26",4,"Michael Pittman Jr.",IND,"238.6","0","0","88","1082","6","5","44","0"
"27",4,"Nick Chubb",CLE,"215.3","0","0","20","174","1","228","1259","8"
"28",4,"Tee Higgins",CIN,"219.1","0","0","74","1091","6","0","0","0"
"29",4,"A.J. Brown",PHI,"180.9","0","0","63","869","5","2","10","0"
"30",4,"James Conner",ARI,"257.7","0","0","37","375","3","202","752","15"
"31",4,"Kyle Pitts",ATL,"176.6","0","0","68","1026","1","0","0","0"
"32",4,"DJ Moore",CAR,"237.5","0","0","93","1157","4","8","48","0"
"33",4,"Ezekiel Elliott",DAL,"252.06","0","0","47","287","2","237","1002","10"
"34",4,"Josh Allen",BUF,"417.58","4407","36","0","0","0","122","763","6"
"35",4,"Travis Etienne Jr.",JAC,"0","0","0","0","0","0","0","0","0"
"36",5,"Diontae Johnson",PIT,"274.4","0","0","107","1161","8","5","53","0"
"37",5,"David Montgomery",CHI,"196","0","0","42","301","0","225","849","7"
"38",5,"Jaylen Waddle",MIA,"245.8","0","0","104","1015","6","2","3","1"
"39",5,"Mike Williams",LAC,"246.6","0","0","76","1146","9","0","0","0"
"40",5,"Courtland Sutton",DEN,"150.24","0","0","58","776","2","0","0","0"
"41",5,"Breece Hall",NYJ,"0","0","0","0","0","0","0","0","0"
